area,role,remainingHours,plannedHours,varianceHours,shiftHours,plannedShiftHours,workerDays,shift,date,headCount,projectCode,companyCode
"General Project","Laborer","","","","10","0","0","Night",2025-04-03 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-04 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-05 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-07 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-08 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-09 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-10 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-11 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-12 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-14 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-15 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-16 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-17 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-18 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-21 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-22 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-23 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-24 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-25 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-28 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-29 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-04-30 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-05-01 00:00:00.000,1,"1902","HSK"
"General Project","Laborer","","","","10","0","0","Night",2025-05-02 00:00:00.000,1,"1902","HSK"
